tm,DVm,PVm
1.710000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.012499999999999289e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.012499999999999289e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.012499999999999289e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.037500000000001532e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.012499999999999289e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.157499999999998863e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.175000000000000822e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.175000000000000822e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.247499999999998666e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.254999999999998950e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.230000000000000315e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.287500000000001477e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.302499999999998437e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
