tm,MVm,PVm
1.470000000000000000e+02,1.000000000000000000e+00,2.812500000000000000e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.747500000000000497e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.812500000000000000e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.812500000000000000e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.812500000000000000e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.845000000000000862e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.884999999999999787e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.892500000000000071e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.892500000000000071e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.892500000000000071e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.892500000000000071e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.907500000000000639e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.940000000000001501e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.972500000000000142e-01
1.610000000000000000e+02,1.000000000000000000e+00,2.972500000000000142e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.972500000000000142e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.972500000000000142e-01
1.640000000000000000e+02,1.000000000000000000e+00,3.019999999999999352e-01
1.650000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.660000000000000000e+02,1.000000000000000000e+00,3.030000000000001026e-01
1.670000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.680000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.690000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.700000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.710000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.720000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.730000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.980000000000000426e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.997500000000000719e-01
1.760000000000000000e+02,1.000000000000000000e+00,3.019999999999999352e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.997500000000000719e-01
1.780000000000000000e+02,1.000000000000000000e+00,3.005000000000001004e-01
1.790000000000000000e+02,1.000000000000000000e+00,3.019999999999999352e-01
1.800000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.957499999999999574e-01
1.820000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.830000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.840000000000000000e+02,1.000000000000000000e+00,3.052500000000000213e-01
1.850000000000000000e+02,1.000000000000000000e+00,3.062500000000000222e-01
1.860000000000000000e+02,1.000000000000000000e+00,3.077500000000000790e-01
1.870000000000000000e+02,1.000000000000000000e+00,3.125000000000000000e-01
1.880000000000000000e+02,1.000000000000000000e+00,3.135000000000000009e-01
1.890000000000000000e+02,1.000000000000000000e+00,3.135000000000000009e-01
1.900000000000000000e+02,1.000000000000000000e+00,3.150000000000000577e-01
1.910000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
1.920000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
1.930000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
1.940000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
1.950000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
1.960000000000000000e+02,1.000000000000000000e+00,3.222500000000000364e-01
1.970000000000000000e+02,1.000000000000000000e+00,3.182500000000000884e-01
1.980000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
1.990000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.000000000000000000e+02,1.000000000000000000e+00,3.182500000000000884e-01
2.010000000000000000e+02,1.000000000000000000e+00,3.182500000000000884e-01
2.020000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.030000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.040000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.050000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.060000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.070000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
2.080000000000000000e+02,1.000000000000000000e+00,3.262500000000000955e-01
2.090000000000000000e+02,1.000000000000000000e+00,3.295000000000000151e-01
2.100000000000000000e+02,1.000000000000000000e+00,3.295000000000000151e-01
2.110000000000000000e+02,1.000000000000000000e+00,3.295000000000000151e-01
2.120000000000000000e+02,1.000000000000000000e+00,3.310000000000000719e-01
2.130000000000000000e+02,1.000000000000000000e+00,3.352500000000001035e-01
2.140000000000000000e+02,1.000000000000000000e+00,3.375000000000000222e-01
2.150000000000000000e+02,1.000000000000000000e+00,3.375000000000000222e-01
2.160000000000000000e+02,1.000000000000000000e+00,3.447500000000001674e-01
2.170000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.180000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.190000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.200000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.210000000000000000e+02,1.000000000000000000e+00,3.464999999999999747e-01
2.220000000000000000e+02,1.000000000000000000e+00,3.464999999999999747e-01
2.230000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.240000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.250000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.260000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.270000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.280000000000000000e+02,1.000000000000000000e+00,3.414999999999999147e-01
2.290000000000000000e+02,1.000000000000000000e+00,3.440000000000001390e-01
2.300000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.310000000000000000e+02,1.000000000000000000e+00,3.455000000000001958e-01
2.320000000000000000e+02,1.000000000000000000e+00,3.519999999999999796e-01
2.330000000000000000e+02,1.000000000000000000e+00,3.504999999999999227e-01
2.340000000000000000e+02,1.000000000000000000e+00,3.527500000000000080e-01
2.350000000000000000e+02,1.000000000000000000e+00,3.537500000000001199e-01
2.360000000000000000e+02,1.000000000000000000e+00,3.537500000000001199e-01
2.370000000000000000e+02,1.000000000000000000e+00,3.537500000000001199e-01
2.380000000000000000e+02,1.000000000000000000e+00,3.537500000000001199e-01
